age,income,employment_duration_years,existing_loan_balance,credit_inquiries_last_6m,num_credit_cards,employment_type,marital_status,property_area,payment_status_code,high_risk_flag,approved
32,62766.99,8,11314.19,3,5,Self-employed,Single,Urban,C0,0,1
59,25048.69,7,32804.54,0,4,Student,Single,Rural,C0,0,0
47,68378.09,15,25505.51,10,5,Salaried,Married,Rural,C0,0,0
42,76250.52,19,0.0,0,2,Salaried,Single,Rural,C3,1,1
44,59314.51,20,29389.94,6,5,Unemployed,Married,Urban,C0,0,0
48,24623.73,4,8327.6,2,6,Salaried,Married,Semiurban,C2,0,0
19,89713.3,24,0.0,2,3,Salaried,Single,Urban,C1,0,1
25,74113.13,11,14759.45,7,4,Salaried,Single,Semiurban,C3,1,0
31,46849.62,27,9161.23,9,6,Salaried,Single,Rural,C2,0,1
24,57984.99,22,33538.51,0,5,Salaried,Married,Urban,C0,0,0
41,27483.26,30,16768.71,1,1,Self-employed,Single,Rural,C0,0,0
53,39364.75,19,14879.22,3,5,Salaried,Married,Semiurban,C1,0,0
52,51554.72,16,24609.06,11,3,Self-employed,Married,Urban,C3,1,0
42,95710.52,5,27300.2,0,1,Salaried,Single,Urban,C2,0,0
63,49012.42,12,22970.47,2,2,Unemployed,Married,Rural,C1,0,0
47,81005.34,26,31872.49,4,6,Self-employed,Divorced,Semiurban,C3,1,0
22,51542.09,11,20521.55,3,6,Student,Single,Urban,C1,0,0
58,71198.69,1,14347.12,0,5,Salaried,Divorced,Urban,C0,0,1
48,61465.11,7,29348.41,6,6,Salaried,Single,Rural,C3,1,0
51,86826.42,18,10727.45,7,4,Self-employed,Married,Urban,C1,0,1
47,51629.72,19,12465.45,2,5,Unemployed,Single,Rural,C3,1,0
47,25686.79,30,36102.08,8,1,Salaried,Married,Semiurban,C0,0,0
22,30451.27,28,34706.94,0,2,Self-employed,Married,Urban,C1,0,1
47,51703.06,16,11885.54,8,1,Self-employed,Divorced,Urban,C0,0,0
60,33773.5,17,5650.28,3,6,Salaried,Divorced,Rural,C1,0,0
34,75255.3,24,32484.43,2,4,Self-employed,Single,Semiurban,C0,0,1
49,53355.8,1,23205.86,2,6,Salaried,Married,Urban,C2,0,0
19,124365.16,18,16418.14,10,2,Salaried,Single,Urban,C0,0,1
36,21557.14,14,7493.78,6,2,Unemployed,Single,Rural,C0,0,1
41,70090.83,24,16643.75,8,4,Salaried,Single,Semiurban,C0,0,1
70,36801.17,24,11696.08,2,3,Self-employed,Divorced,Semiurban,C1,0,1
29,52664.97,20,2699.27,0,2,Self-employed,Married,Urban,C1,0,1
32,68535.49,20,13806.59,0,2,Student,Single,Semiurban,C2,0,1
39,12000.0,21,15715.94,5,3,Salaried,Divorced,Rural,C2,0,0
70,70920.65,17,6744.47,3,0,Salaried,Married,Urban,C1,0,0
63,112572.69,7,24653.56,9,1,Salaried,Single,Rural,C1,0,0
19,53664.04,8,30043.65,9,0,Self-employed,Married,Rural,C0,0,0
30,71495.2,22,25578.57,3,1,Salaried,Married,Urban,C1,0,1
61,90623.04,19,8132.52,5,1,Self-employed,Married,Rural,C3,1,0
21,60901.16,7,22581.5,4,0,Salaried,Married,Semiurban,C1,0,0
63,50476.0,27,13091.46,8,0,Salaried,Married,Semiurban,C4,1,0
32,12000.0,30,0.0,7,5,Unemployed,Single,Urban,C0,0,1
66,81024.77,19,21418.21,7,1,Unemployed,Married,Rural,C2,0,0
33,62170.79,7,14045.84,0,3,Salaried,Single,Semiurban,C2,0,1
41,39682.9,29,48309.67,4,0,Self-employed,Single,Rural,C2,0,1
53,68164.92,7,32401.79,11,6,Salaried,Single,Urban,C2,0,0
24,50407.99,13,21956.1,4,1,Self-employed,Married,Urban,C0,0,0
47,51789.35,26,15488.39,2,5,Salaried,Single,Rural,C2,0,1
44,80157.28,16,14292.11,2,4,Salaried,Single,Semiurban,C1,0,1
59,31540.44,7,0.0,0,5,Salaried,Single,Urban,C1,0,0
70,91182.88,2,0.0,9,4,Salaried,Divorced,Rural,C0,0,1
53,30057.85,11,0.0,0,3,Self-employed,Single,Urban,C0,0,1
39,48432.46,20,11331.96,7,5,Salaried,Single,Rural,C4,1,0
39,113073.65,22,0.0,4,5,Salaried,Single,Rural,C0,0,1
40,93183.87,6,4379.49,1,2,Salaried,Married,Urban,C0,0,1
61,67440.1,4,8533.42,10,6,Salaried,Single,Semiurban,C0,0,1
35,41486.74,21,8984.03,8,6,Self-employed,Single,Rural,C1,0,0
26,51768.19,4,2735.87,9,5,Salaried,Married,Rural,C2,0,0
35,66831.88,1,7218.81,11,6,Self-employed,Married,Semiurban,C4,1,0
19,65938.08,15,36134.51,10,0,Unemployed,Married,Semiurban,C1,0,0
23,62728.23,17,21270.03,8,3,Salaried,Married,Semiurban,C0,0,0
22,64229.19,7,4155.79,6,4,Unemployed,Divorced,Urban,C0,0,1
58,59640.62,6,11043.13,8,6,Salaried,Divorced,Semiurban,C0,0,0
56,28950.53,7,11603.61,5,0,Salaried,Married,Urban,C1,0,0
54,52087.23,10,1248.62,2,5,Salaried,Married,Urban,C5,1,1
42,87865.6,0,1232.18,4,0,Salaried,Married,Semiurban,C0,0,1
56,30791.64,0,26147.34,5,2,Salaried,Divorced,Rural,C0,0,0
26,60261.11,11,6123.02,0,4,Salaried,Single,Urban,C2,0,1
65,44506.15,0,0.0,10,2,Unemployed,Divorced,Urban,C1,0,0
44,67783.76,9,11396.04,10,5,Salaried,Married,Urban,C2,0,1
67,55284.17,18,13652.14,5,6,Unemployed,Married,Urban,C1,0,0
26,101934.84,0,0.0,5,1,Salaried,Single,Rural,C0,0,0
44,77664.58,19,11429.55,10,1,Self-employed,Single,Semiurban,C1,0,1
54,32204.92,19,24151.72,5,0,Salaried,Married,Urban,C0,0,1
44,81780.7,17,18317.21,8,4,Salaried,Married,Rural,C2,0,1
41,45633.7,19,43217.13,6,6,Salaried,Single,Urban,C0,0,0
26,50575.09,25,29515.53,3,4,Unemployed,Married,Semiurban,C1,0,1
38,72845.48,2,32285.08,9,0,Unemployed,Single,Rural,C4,1,1
30,52706.31,5,51201.2,2,1,Salaried,Married,Rural,C1,0,0
33,87321.4,9,22614.19,2,0,Self-employed,Married,Urban,C0,0,0
54,45637.25,21,14282.98,8,3,Self-employed,Married,Semiurban,C4,1,0
51,49526.34,27,25632.36,8,5,Self-employed,Single,Semiurban,C0,0,1
50,48590.73,28,4170.69,11,1,Salaried,Single,Semiurban,C2,0,1
37,50859.03,18,13507.61,8,5,Self-employed,Single,Urban,C0,0,0
68,92479.79,12,2931.81,0,1,Self-employed,Married,Rural,C3,1,0
22,80719.91,12,17571.78,10,3,Salaried,Divorced,Semiurban,C0,0,1
36,107748.6,1,2873.27,4,4,Salaried,Married,Semiurban,C0,0,1
24,121691.11,14,2383.0,0,3,Salaried,Married,Rural,C5,1,1
35,39232.07,15,17788.63,6,3,Unemployed,Single,Rural,C1,0,1
68,66760.48,6,10072.04,2,2,Salaried,Single,Rural,C0,0,1
37,35594.99,23,0.0,4,3,Salaried,Married,Urban,C0,0,1
66,45559.85,25,0.0,5,1,Salaried,Married,Urban,C0,0,1
44,49247.94,9,0.0,0,2,Unemployed,Single,Semiurban,C0,0,1
55,38571.13,28,0.0,10,5,Self-employed,Married,Urban,C1,0,1
42,38702.82,3,17801.93,6,6,Salaried,Married,Semiurban,C1,0,0
32,61392.89,28,15065.14,11,5,Salaried,Single,Semiurban,C4,1,0
58,34582.04,23,26913.91,5,2,Self-employed,Single,Semiurban,C2,0,1
69,86053.17,6,22539.23,7,2,Salaried,Married,Urban,C4,1,0
31,42056.16,20,27006.64,9,0,Salaried,Single,Rural,C1,0,0
59,135239.22,9,20517.55,2,1,Student,Single,Semiurban,C1,0,1
31,53715.39,24,14935.51,10,4,Salaried,Married,Semiurban,C1,0,1
55,66800.44,4,27390.92,2,1,Salaried,Divorced,Semiurban,C0,0,1
59,32616.47,7,24871.78,11,5,Salaried,Single,Urban,C0,0,0
41,107652.29,9,17265.34,7,0,Self-employed,Single,Semiurban,C3,1,1
57,92987.52,6,29795.01,6,2,Self-employed,Married,Urban,C2,0,0
32,72422.9,10,0.0,2,1,Salaried,Single,Semiurban,C0,0,1
22,31329.94,18,7933.52,6,3,Self-employed,Married,Urban,C1,0,1
23,70266.67,19,7718.93,6,0,Unemployed,Married,Urban,C0,0,1
41,36964.22,17,28137.56,11,2,Unemployed,Single,Urban,C1,0,0
65,101558.88,5,33999.53,10,5,Salaried,Married,Urban,C0,0,0
24,85229.87,6,0.0,5,5,Salaried,Single,Rural,C3,1,0
42,67385.98,28,31756.34,4,1,Unemployed,Married,Rural,C1,0,0
55,12000.0,7,0.0,4,3,Salaried,Divorced,Urban,C1,0,0
28,40414.6,3,0.0,4,4,Salaried,Single,Urban,C2,0,1
56,82194.03,14,8720.0,0,3,Salaried,Single,Rural,C4,1,1
34,95322.09,0,7545.11,0,3,Unemployed,Married,Urban,C3,1,1
60,92729.25,10,0.0,9,2,Salaried,Married,Semiurban,C1,0,1
48,25199.67,26,21098.29,3,5,Salaried,Single,Urban,C0,0,1
46,72538.81,8,21511.63,4,4,Self-employed,Single,Semiurban,C2,0,1
27,90387.88,21,26756.58,8,6,Salaried,Single,Rural,C3,1,0
42,23541.61,15,5931.63,7,5,Salaried,Married,Urban,C5,1,0
63,64802.39,11,11445.84,4,2,Salaried,Single,Rural,C1,0,0
19,71846.06,20,11574.02,9,2,Salaried,Single,Rural,C2,0,0
58,57480.89,18,35631.94,1,0,Student,Single,Rural,C0,0,0
44,18695.95,9,0.0,5,4,Salaried,Married,Rural,C0,0,1
56,56857.55,6,0.0,1,5,Unemployed,Married,Rural,C0,0,0
53,56817.36,28,12077.57,6,2,Salaried,Married,Semiurban,C0,0,1
40,61298.19,5,0.0,1,0,Salaried,Married,Rural,C1,0,1
34,50913.21,29,8383.51,11,5,Salaried,Married,Urban,C0,0,0
51,53924.7,14,10234.94,7,1,Salaried,Single,Semiurban,C2,0,1
25,64007.34,30,2792.39,2,4,Salaried,Single,Semiurban,C1,0,1
48,76061.37,10,12902.56,7,0,Salaried,Single,Urban,C0,0,1
23,57389.33,17,20794.09,4,0,Student,Single,Urban,C2,0,1
52,54758.78,19,8692.27,6,6,Salaried,Divorced,Urban,C0,0,1
51,67308.85,10,5655.27,2,4,Unemployed,Single,Semiurban,C0,0,1
22,16977.1,6,9679.29,6,0,Salaried,Married,Urban,C5,1,0
58,76925.88,16,11895.89,1,0,Salaried,Single,Urban,C0,0,1
40,64985.92,20,0.0,1,3,Self-employed,Married,Urban,C0,0,1
59,65992.34,8,18461.75,7,4,Salaried,Single,Semiurban,C1,0,0
20,89018.36,23,5685.98,6,2,Salaried,Single,Urban,C0,0,1
27,16179.61,19,29661.49,3,6,Salaried,Single,Urban,C0,0,0
44,15654.15,5,20274.75,0,4,Salaried,Married,Urban,C2,0,0
27,71845.1,29,28380.93,5,4,Self-employed,Married,Semiurban,C1,0,1
35,64822.08,1,0.0,11,2,Salaried,Married,Urban,C1,0,0
53,69254.42,20,6800.59,8,4,Student,Divorced,Rural,C3,1,1
25,53446.82,13,0.0,0,6,Salaried,Married,Urban,C0,0,0
53,81608.84,20,2127.32,11,0,Salaried,Divorced,Urban,C1,0,1
23,88315.97,23,29529.48,5,5,Salaried,Single,Semiurban,C0,0,0
27,77099.56,21,32824.87,6,6,Salaried,Single,Rural,C0,0,0
49,58479.29,20,0.0,0,3,Unemployed,Single,Semiurban,C5,1,1
60,12307.77,26,5584.11,3,5,Unemployed,Married,Urban,C2,0,1
27,84230.91,21,10933.26,9,2,Salaried,Married,Semiurban,C0,0,1
33,95543.22,25,20198.48,3,1,Salaried,Married,Semiurban,C1,0,1
67,81113.96,12,0.0,1,5,Unemployed,Married,Semiurban,C0,0,1
70,43008.94,6,0.0,1,2,Salaried,Single,Rural,C2,0,0
48,81844.86,7,18854.77,11,5,Salaried,Married,Rural,C0,0,0
41,86513.24,18,0.0,9,2,Salaried,Married,Semiurban,C4,1,1
36,103970.41,16,5744.84,0,2,Salaried,Married,Urban,C0,0,1
50,43097.25,2,14269.29,11,4,Salaried,Single,Semiurban,C0,0,0
49,59338.64,6,17819.32,9,2,Salaried,Single,Rural,C4,1,0
33,83681.8,29,10015.95,4,5,Unemployed,Single,Rural,C3,1,0
19,66435.25,22,6879.41,7,0,Salaried,Married,Urban,C0,0,1
26,37066.81,23,23823.99,3,0,Unemployed,Married,Urban,C1,0,1
68,75365.41,6,15992.88,2,0,Self-employed,Single,Urban,C3,1,1
40,79466.54,1,2941.77,8,1,Salaried,Married,Rural,C2,0,0
43,67199.07,9,12528.12,2,0,Salaried,Married,Semiurban,C1,0,1
42,70489.62,26,17364.37,4,2,Salaried,Divorced,Urban,C2,0,1
59,58532.35,15,36055.32,4,0,Unemployed,Married,Urban,C4,1,1
21,101956.97,24,23008.53,1,5,Salaried,Married,Urban,C1,0,1
22,42482.7,15,29003.8,9,1,Unemployed,Married,Rural,C0,0,0
32,50316.98,15,3451.5,8,6,Self-employed,Married,Semiurban,C1,0,1
43,65274.64,18,4661.44,10,5,Self-employed,Single,Urban,C2,0,0
53,86973.85,29,8704.68,6,4,Salaried,Single,Semiurban,C1,0,1
44,27565.67,13,9989.98,2,5,Self-employed,Divorced,Semiurban,C0,0,0
41,32242.58,18,0.0,3,5,Self-employed,Married,Semiurban,C2,0,1
67,14056.79,28,29723.07,4,5,Self-employed,Married,Rural,C1,0,0
26,65817.38,11,24366.92,11,3,Salaried,Married,Urban,C5,1,0
48,37042.35,26,7720.51,2,4,Self-employed,Married,Urban,C0,0,1
46,55386.25,16,20983.95,8,3,Salaried,Single,Urban,C2,0,1
43,81534.45,27,15120.59,1,4,Self-employed,Single,Semiurban,C1,0,1
60,48961.43,14,22077.59,11,2,Salaried,Single,Rural,C0,0,0
32,70782.05,19,0.0,7,0,Salaried,Single,Urban,C1,0,1
68,57516.55,10,9960.74,5,6,Self-employed,Single,Rural,C0,0,0
35,81802.86,19,11187.46,4,4,Salaried,Married,Semiurban,C2,0,1
46,76878.2,10,20730.99,4,4,Self-employed,Single,Rural,C2,0,1
45,47701.66,18,3201.87,2,1,Self-employed,Married,Semiurban,C0,0,1
63,60783.71,24,0.0,7,5,Self-employed,Divorced,Urban,C1,0,1
41,91093.58,13,0.0,10,3,Self-employed,Single,Rural,C5,1,0
33,74834.42,13,11145.33,2,0,Salaried,Married,Rural,C0,0,1
19,30075.95,9,12894.38,8,6,Salaried,Married,Semiurban,C4,1,0
37,81390.45,22,35572.47,6,6,Self-employed,Divorced,Rural,C0,0,1
61,37884.73,18,20158.45,9,6,Salaried,Married,Urban,C0,0,0
18,100312.83,16,13141.42,9,3,Salaried,Single,Semiurban,C1,0,0
65,90602.47,0,11546.52,0,1,Salaried,Single,Urban,C0,0,0
46,72247.14,3,27458.57,0,0,Salaried,Divorced,Semiurban,C3,1,0
25,68930.82,0,3738.45,10,5,Student,Single,Urban,C2,0,0
34,59774.19,26,10036.03,1,6,Salaried,Married,Urban,C2,0,1
47,81963.1,26,0.0,6,0,Salaried,Single,Urban,C2,0,1
34,55730.55,2,31864.68,9,4,Unemployed,Married,Semiurban,C2,0,0
23,70889.25,1,17494.99,6,0,Student,Married,Rural,C2,0,0
53,86798.36,24,2094.67,0,5,Salaried,Single,Urban,C2,0,1
53,50954.84,16,10397.63,0,0,Unemployed,Single,Semiurban,C3,1,1
24,49595.18,9,19135.11,8,6,Salaried,Single,Urban,C1,0,0
32,35140.86,19,8489.94,10,1,Self-employed,Married,Semiurban,C0,0,0
30,38388.18,7,4517.41,4,2,Salaried,Married,Urban,C1,0,1
52,19290.12,6,2840.17,6,4,Salaried,Single,Semiurban,C1,0,0
56,83245.72,11,16745.47,11,5,Salaried,Married,Rural,C0,0,0
56,110222.86,27,6987.24,9,2,Self-employed,Single,Semiurban,C1,0,1
67,100633.22,23,5647.39,6,6,Salaried,Married,Semiurban,C0,0,0
58,24347.89,5,0.0,7,0,Salaried,Married,Semiurban,C0,0,0
34,83121.37,17,13086.97,11,3,Self-employed,Married,Urban,C3,1,1
23,100552.66,27,9462.87,9,6,Salaried,Married,Urban,C2,0,1
50,53579.75,29,7496.92,4,1,Unemployed,Single,Urban,C0,0,0
66,67536.19,23,14782.79,8,3,Salaried,Single,Semiurban,C4,1,1
69,14802.67,3,22472.03,3,3,Salaried,Married,Rural,C4,1,0
30,71668.4,7,21821.92,11,2,Salaried,Single,Semiurban,C3,1,1
30,38411.01,6,19738.2,1,5,Salaried,Single,Semiurban,C0,0,1
19,69990.88,4,8630.62,2,3,Salaried,Single,Urban,C0,0,1
25,25969.93,5,4062.02,4,4,Salaried,Married,Urban,C1,0,1
47,78571.46,9,0.0,2,3,Self-employed,Married,Rural,C2,0,1
46,90612.82,17,3695.81,7,6,Salaried,Divorced,Urban,C1,0,1
37,45420.5,12,12275.1,8,3,Salaried,Single,Semiurban,C2,0,0
34,36576.94,13,991.99,10,5,Self-employed,Single,Urban,C2,0,0
61,12000.0,7,13344.8,6,4,Salaried,Single,Urban,C4,1,0
42,58339.66,4,0.0,7,5,Self-employed,Married,Urban,C1,0,1
60,50460.15,30,0.0,7,6,Unemployed,Single,Rural,C4,1,0
69,26224.51,18,23471.69,0,1,Salaried,Divorced,Urban,C3,1,0
34,76325.47,7,5358.2,8,2,Self-employed,Married,Semiurban,C0,0,0
28,53750.74,25,281.53,0,2,Unemployed,Married,Urban,C3,1,1
68,38106.6,25,0.0,6,3,Salaried,Married,Semiurban,C0,0,1
51,51135.69,29,17922.5,11,3,Student,Married,Semiurban,C0,0,1
33,91782.61,4,31248.71,9,0,Salaried,Married,Semiurban,C5,1,0
50,80073.42,19,6356.97,6,6,Self-employed,Single,Urban,C1,0,1
45,61749.35,30,8982.11,3,6,Salaried,Married,Urban,C1,0,1
65,80477.63,25,27002.85,10,4,Salaried,Married,Rural,C4,1,1
31,35977.2,6,0.0,10,2,Student,Married,Semiurban,C0,0,0
70,65809.25,27,39536.16,4,5,Salaried,Single,Urban,C0,0,0
67,68683.06,13,46217.4,1,1,Student,Divorced,Semiurban,C0,0,1
27,53254.09,15,0.0,6,2,Self-employed,Divorced,Urban,C1,0,0
26,75886.46,17,10634.95,7,6,Unemployed,Married,Semiurban,C0,0,1
46,45489.16,23,1934.74,11,6,Student,Divorced,Semiurban,C0,0,1
20,77745.52,3,8293.2,10,4,Self-employed,Married,Urban,C3,1,0
33,78796.47,16,6142.61,2,1,Student,Single,Semiurban,C0,0,1
41,12000.0,25,23364.63,3,0,Self-employed,Married,Semiurban,C1,0,1
69,94757.64,17,10424.02,11,6,Salaried,Single,Rural,C0,0,1
70,12000.0,8,0.0,3,1,Self-employed,Married,Semiurban,C1,0,1
26,49598.77,1,9589.41,5,4,Salaried,Married,Semiurban,C1,0,0
65,90633.7,17,19206.98,3,2,Salaried,Single,Rural,C1,0,1
22,57067.83,21,0.0,4,3,Salaried,Single,Urban,C0,0,1
57,28345.35,17,0.0,6,6,Salaried,Married,Semiurban,C0,0,1
62,37656.57,30,39898.4,3,4,Salaried,Married,Urban,C0,0,0
65,90672.64,18,3006.03,4,3,Salaried,Divorced,Urban,C0,0,1
29,16962.39,15,10077.06,4,2,Self-employed,Single,Semiurban,C1,0,1
65,93224.78,1,6430.86,1,1,Self-employed,Married,Urban,C0,0,1
